City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,San Policarpo,PH,81.61,light rain,12.1791,125.5072,Agapita M. Nicart
485,Tonj,SS,73.33,broken clouds,7.2737,28.6822,Lakan Hotel
486,Norrtalje,SE,71.78,scattered clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
489,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
490,Ejido,VE,70.48,moderate rain,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
493,Moundou,TD,71.11,light rain,8.5667,16.0833,Planete Life
494,Axim,GH,76.19,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
495,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
504,Paracuru,BR,82.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
506,Bima,ID,74.39,broken clouds,-8.4667,118.7167,Lambitu Hotel
512,Nantucket,US,78.91,clear sky,41.2835,-70.0995,Jared Coffin House
513,West Bay,KY,89.06,scattered clouds,19.3667,-81.4167,Calypso Cove
514,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
515,Nichinan,JP,74.55,clear sky,31.6,131.3667,Guest House Aki
517,Puerto Lopez,CO,82.47,light rain,4.0845,-72.956,Resguardo Indigena Maguare
519,Price,US,79.86,clear sky,39.5994,-110.8107,National 9 - Price River Inn
523,Bileca,BA,73.29,clear sky,42.8719,18.4297,Hotel Dijamant
528,Broome,US,86.7,clear sky,42.2506,-75.833,Chenango Valley State Park
530,Matay,EG,86.13,clear sky,28.419,30.7792,Nag Aespen
532,Dhadar,IN,79.54,moderate rain,28.3305,75.0632,ढाढर
536,Vasterhaninge,SE,71.13,scattered clouds,59.1167,18.1,Ros-Andersgård
540,Taft,IR,87.75,few clouds,31.7471,54.2088,عمارت ساعتی تفت
543,Halifax,CA,76.89,scattered clouds,44.6453,-63.5724,Hotel Halifax
544,Toppenish,US,81.7,overcast clouds,46.3774,-120.3087,Legends Casino Hotel
545,Zapotiltic,MX,73.44,light rain,19.6167,-103.4333,HOTEL HUIZAPOLES
547,Myrtle Beach,US,86.11,clear sky,33.6891,-78.8867,Bay View Resort Myrtle Beach
548,Palmar,CR,86.07,overcast clouds,9.8728,-84.4553,Casa Victoria y Anabella
553,Ko Samui,TH,83.07,overcast clouds,9.5357,99.9357,The Passage
555,Taonan,CN,72.14,scattered clouds,45.3333,122.7833,Makro Hotel
559,Wenling,CN,75.45,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
560,Bama,NG,85.08,light rain,11.5221,13.6856,UN Humanitarian Hub
562,Bontang,ID,75.63,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
568,Buchanan,LR,77.29,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
571,Mana,GF,79.74,light rain,5.6592,-53.7767,LE SAMANA
572,Dunkwa,GH,71.28,light rain,5.9656,-1.78,Tim Freeman Gold City Hotel
575,Bodden Town,KY,88.99,scattered clouds,19.2833,-81.25,Will T Place
576,Marsh Harbour,BS,82.2,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
577,Puerto Quijarro,BO,89.2,clear sky,-17.7833,-57.7667,Hotel palance
579,Balkanabat,TM,83.34,clear sky,39.5108,54.3671,Nebitchi Hotel
581,Apricena,IT,80.42,clear sky,41.7839,15.4437,Bed & Breakfast CORSO ROMA
582,Sola,VU,79.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
583,Maceio,BR,80.04,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
584,Sept-Iles,CA,75.72,few clouds,50.2001,-66.3821,Comfort Inn
585,Aksu,CN,81.75,clear sky,41.1231,80.2644,Pudong Holiday Hotel
587,Kattivakkam,IN,82.49,light rain,13.2167,80.3167,Euronova Freezer
588,Gat,IL,78.82,clear sky,31.61,34.7642,OlusHome
589,Tambun,ID,79.03,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
591,Kigoma,TZ,73.42,few clouds,-4.8769,29.6267,MJI Mwema Lodge
594,Mazagao,BR,89.65,light rain,-0.115,-51.2894,Recanto dos Ferreiras
595,Cuyo,PH,82.9,heavy intensity rain,10.8525,121.0086,Francia Inn
596,Santa Rosalia,MX,87.8,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
